strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
OZ414383	2025-12-15	PQ.11	59.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202551	OZ414383	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-0.75	0.76
OZ414382	2026-01-13	PQ.11	60.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202602	OZ414382	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-0.06	0.99
OZ414390	2026-01-11	PQ.11	59.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202602	OZ414390	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.13	1.81
OZ414386	2026-01-07	PQ.11	59.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202601	OZ414386	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.13	1.81
OZ414380	2026-01-13	PQ.11	59.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202602	OZ414380	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.13	1.81
OZ414388	2026-01-09	PQ.11	59.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202601	OZ414388	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.11	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.13	1.81
Denmark/DCGC-693139/2025	2025-09-22	PQ.9	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202539	OZ352436	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.9	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693218/2025	2025-10-20	PQ.9	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202543	OZ368754	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.9	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ392124	2025-12-15	PQ.2	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392124	Homo sapiens		PQ.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.04	-1.21	1.58
OZ409641	2026-01-21	PQ.2	58.00	25B (NB.1.8.1)	United Kingdom	England	21L	202603	OZ409641	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PQ.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	1.04	0.00	0.00
OZ392125	2025-12-15	PQ.2.7	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392125	Homo sapiens		PQ.2.7	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.10	1.78
Denmark/DCGC-693432/2025	2025-11-17	PQ.2.7	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202547	OZ376989	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.7	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.10	1.78
IGS-10285-CVDP-28F6EF56-BEC3-44FD-9C06-BE0A3758176B	2026-02-11	PQ.2.7	58.00	25B (NB.1.8.1)	Germany		21L	202606				PQ.2.7	One month ago	Europe		?		-1.21	1.58
USA/MN-MDH-48576/2025	2025-11-17	PQ.2.7	57.00	25B (NB.1.8.1)	USA	Minnesota	21L	202547	PX673538	Homo sapiens	ALLINA HEALTH LABORATORY - ABBOTT NORTHWESTERN	PQ.2.7	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		-1.21	1.58
IGS-10285-CVDP-FBB09C40-51D9-488C-8D40-78A719565418	2026-02-06	PQ.2.7	57.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.2.7	One month ago	Europe		?		-1.21	1.58
IGS-10285-CVDP-7B670DAB-74B1-4BA2-8B53-062B8C5EDD2F	2025-10-21	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202543				PQ.2	Older	Europe		?	1.04	-1.21	1.58
IGS-10285-CVDP-4DA52F36-E687-4AAF-BCFC-CE2F4C7880BE	2026-01-16	PQ.2	58.00	25B (NB.1.8.1)	Germany		21L	202602				PQ.2	Older	Europe		?	1.04	-1.51	1.58
IGS-10285-CVDP-BE91E1B3-10F9-4B74-A63D-0CB1649C61FF	2026-02-03	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.2	One month ago	Europe		?	1.04	-1.21	1.58
IRL/GIRL00069839/2025	2025-09-25	PQ.2	57.00	25B (NB.1.8.1)	Ireland	Dublin	21L	202539	PX580381	Homo sapiens		PQ.2	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	1.04	-1.21	1.58
USA/CA-CDC-9570378/2025	2025-11-03	PQ.2	57.00	25B (NB.1.8.1)	USA	California	21L	202545	PX925150	Homo sapiens		PQ.2	Older	North America	Centers for Disease Control and Prevention, Coronaviruses and Other Respiratory Viruses Division	Kelleher et al	1.04	-1.21	1.58
IGS-10285-CVDP-0F923580-2FD4-44A3-B7FF-A577C97EA53E	2025-10-28	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202544				PQ.2	Older	Europe		?	1.04	-1.21	1.58
Denmark/DCGC-692961/2025	2025-09-22	PQ.2	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202539	OZ352413	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.04	-1.21	1.58
IGS-10285-CVDP-CC1CBC59-3B21-4534-938B-C0E4B2CCAB29	2025-11-24	PQ.2	58.00	25B (NB.1.8.1)	Germany		21L	202548				PQ.2	Older	Europe		?	1.04	-1.21	1.58
IGS-10285-CVDP-C763B9F2-A6DE-4878-8AD0-A9C31C883325	2025-10-29	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202544				PQ.2	Older	Europe		?	1.04	-1.21	1.58
USA/VT-25-008015-WGS-01/2025	2025-09-18	PQ.2	57.00	25B (NB.1.8.1)	USA	Vermont	21L	202538	PX467215	Homo sapiens	Vermont Department of Health	PQ.2	Older	North America	University of Vermont, Bioinformatics Shared Resource	Dragon et al	1.04	-1.21	1.58
OZ373559	2025-10-01	PQ.2	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202540	OZ373559	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.04	-1.21	1.58
USA/UT-UPHL-251114292371/2025	2025-11-04	PQ.2	57.00	25B (NB.1.8.1)	USA	Utah	21L	202545	PX931094	Homo sapiens	Utah Public Health Laboratory	PQ.2	Older	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al	1.04	-1.21	1.58
OZ392138	2025-12-15	PQ.2	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392138	Homo sapiens		PQ.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.04	-1.21	1.58
IGS-10285-CVDP-0B332E7D-60B3-4901-B729-8E6311D84D1C	2025-12-09	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202550				PQ.2	Older	Europe		?	1.04	-1.21	1.58
IGS-10285-CVDP-B543CFAA-C0DB-48FE-AF8D-9EF915A0F716	2026-01-13	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202602				PQ.2	Older	Europe		?	1.04	-1.21	1.58
CHN/2025087/2025	2025-06-12	PQ.17.2	55.00	25B (NB.1.8.1)	China	Yunnan	21L	202524	PX399007	Homo sapiens		PQ.17.2	Older	Asia	Yunnan Provincial Key Laboratory of Public Health and Biosafety, Research Group of Infectious Diseases and Molecular Virology	Xia et al		-1.23	1.55
Denmark/DCGC-693418/2025	2025-11-10	PQ.17.2	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202546	OZ377045	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
IRL/GIRL00081422/2025	2025-11-10	PQ.17.2	57.00	25B (NB.1.8.1)	Ireland	Wicklow	21L	202546	PX634600	Homo sapiens		PQ.17.2	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
Japan/BRL25-0348/2025	2025-09-27	PQ.17.2	56.00	25B (NB.1.8.1)	Japan	Tokyo	21L	202539	LC911023	Homo sapiens		PQ.17.2	Older	Asia	Department of Academic-Industrial Partnerships Promotion, Center for Clinical Sciences; 1-21-1, Toyama, Shinjuku-ku, Tokyo 162-8655	Takeuchi et al		-1.23	1.55
USA/NJ-PHEL-V25017085/2025	2025-11-26	PQ.17.2	57.00	25B (NB.1.8.1)	USA	New Jersey	21L	202548	PX715179	Homo sapiens	New Jersey Public Health and Environmental Laboratories	PQ.17.2.1	Older	North America	NJDOH PHEL Virology Shared Submissions, Public Health and Environmental Laboratories, Virology	Verma et al		-1.12	1.75
Denmark/DCGC-693354/2025	2025-11-03	PQ.17.2	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202545	OZ372663	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
OZ392173	2025-12-15	PQ.17.2	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392173	Homo sapiens		PQ.17.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.33	1.68
IGS-10285-CVDP-27CCB2D7-52CC-4098-8D19-0B572B7366CA	2025-10-07	PQ.17	56.00	25B (NB.1.8.1)	Germany		21L	202541				PQ.17.4	Older	Europe		?	1.07	-1.23	1.55
IGS-10285-CVDP-E7EB84BE-743D-4CDB-8F47-476557051E86	2026-02-06	PQ.17	56.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.17	One week ago	Europe		?	1.07	-1.23	1.55
IRL/GIRL00000598/2026	2026-01-02	PQ.17	56.00	25B (NB.1.8.1)	Ireland	Dublin	21L	202553	PX971390	Homo sapiens		PQ.17	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al	1.07	-1.23	1.55
OZ375328	2025-11-21	PQ.17	56.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202547	OZ375328	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.17	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.07	-1.23	1.55
IGS-10285-CVDP-BA8C5D27-C69E-40FC-B311-564624486FC9	2025-09-25	PQ.17.6	58.00	25B (NB.1.8.1)	Germany		21L	202539				PQ.17.6	Older	Europe		?		-1.12	1.75
IGS-10285-CVDP-F16FBEA1-FE6E-4D81-81F6-2032F7838A6B	2026-02-24	PQ.17.6	58.00	25B (NB.1.8.1)	Germany		21L	202608				PQ.17.6	One week ago	Europe		?		0.24	1.74
IGS-10285-CVDP-EF81E388-E90A-4E4D-BFC2-2036E1A7D7F4	2026-02-06	PQ.17.6	58.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.17.6	One month ago	Europe		?		-1.12	1.75
IGS-10285-CVDP-7EEDBAD4-BA3A-4A86-B269-6BDF26B735DC	2025-10-14	NB.1.8.1	58.00	25B (NB.1.8.1)	Germany		21L	202542				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
IGS-10285-CVDP-FCCF0A4C-95AE-43D6-A4A8-6D445C3BE626	2025-11-17	NB.1.8.1	56.00	25B (NB.1.8.1)	Germany		21L	202547				NB.1.8.1	Older	Europe		?	1.02	0.00	0.00
IGS-10285-CVDP-690A79BD-929A-46B5-982A-C65058FE3F70	2026-01-05	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202601				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
USA/IL-RIPHL_33692_G/2025	2025-09-18	PQ.17	56.00	25B (NB.1.8.1)	USA	Illinois	21L	202538	PX499583	Homo sapiens		PQ.17	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al	1.07	-1.23	1.55
IGS-10285-CVDP-39478491-FF22-433A-B0F6-F1E72BE3058E	2026-02-02	PQ.17	56.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.17	One month ago	Europe		?	1.07	-1.23	1.55
IGS-10285-CVDP-59D04D0E-2258-498F-BDE0-F61B5C264C45	2026-01-29	PQ.17	56.00	25B (NB.1.8.1)	Germany		21L	202604				PQ.17	Older	Europe		?	1.07	-1.23	1.55
IGS-10285-CVDP-EDE92D13-2F60-467F-8497-6B9D3721522B	2026-01-30	PQ.17	56.00	25B (NB.1.8.1)	Germany		21L	202604				PQ.17	One month ago	Europe		?	1.07	-1.23	1.55
OZ365093	2025-10-05	PQ.17	56.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202541	OZ365093	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.17	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.07	-1.23	1.55
Japan/BRL25-0332/2025	2025-09-16	PQ.8.1	56.00	25B (NB.1.8.1)	Japan	Tokyo	21L	202538	LC911010	Homo sapiens		PQ.8.1	Older	Asia	Department of Academic-Industrial Partnerships Promotion, Center for Clinical Sciences; 1-21-1, Toyama, Shinjuku-ku, Tokyo 162-8655	Takeuchi et al		-1.23	1.55
OZ368536	2025-10-28	PQ.18	58.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202544	OZ368536	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.8	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.94	1.49
OZ390328	2025-12-12	PQ.18	58.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202550	OZ390328	Homo sapiens		PQ.8	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.94	1.49
IGS-10285-CVDP-195BD5F4-F118-40F0-BBB8-877BEF47625E	2025-12-01	PQ.8.1	56.00	25B (NB.1.8.1)	Germany		21L	202549				PQ.8.1	Older	Europe		?		-1.23	1.55
IGS-10285-CVDP-9062C736-69AF-4779-B609-BC8B42A71362	2025-12-16	PQ.8.1	56.00	25B (NB.1.8.1)	Germany		21L	202551				PQ.8.1	Older	Europe		?		-1.23	1.55
Denmark/DCGC-693362/2025	2025-10-27	PQ.8.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202544	OZ372638	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.8.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
IGS-10285-CVDP-AC85CE12-9F5C-4058-B906-87CFB1C05177	2026-01-12	PQ.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202602				PQ.8.1	Older	Europe		?		-1.23	1.55
BHR/25220019447/2025	2025-10-08	PQ.8.1	56.00	25B (NB.1.8.1)	Bahrain	Bahrain	21L	202541	PX473002	Homo sapiens		PQ.8.1	Older	Asia	Public Health Directorate, Communicable Disease Laboratory	Almoamen et al		-1.23	1.55
IGS-10285-CVDP-E5EE9B6B-4DE9-46AC-9DE3-1C8D10F112D9	2025-11-05	PQ.8.1	55.00	25B (NB.1.8.1)	Germany		21L	202545				PQ.8.1	Older	Europe		?		0.00	0.00
IRL/GIRL00000184/2026	2026-01-01	PQ.8.1	56.00	25B (NB.1.8.1)	Ireland	Dublin	21L	202553	PX971389	Homo sapiens		PQ.8.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		0.89	1.55
IGS-10285-CVDP-5F169D83-14E3-4416-B9FA-D2FFC74F7AA8	2025-09-16	PQ.8.1	56.00	25B (NB.1.8.1)	Germany		21L	202538				PQ.8.1	Older	Europe		?		-1.23	1.55
Denmark/DCGC-693336/2025	2025-11-03	PQ.8.1	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202545	OZ372662	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.8.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
IGS-10285-CVDP-1ED69F92-1D62-415E-B3DB-242F550F2545	2025-11-07	PQ.8.1	56.00	25B (NB.1.8.1)	Germany		21L	202545				PQ.8.1	Older	Europe		?		-1.23	1.55
IRL/GIRL00072646/2025	2025-10-07	PQ.8.1	56.00	25B (NB.1.8.1)	Ireland	Wicklow	21L	202541	PX580412	Homo sapiens		PQ.8.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
IRL/GIRL00070609/2025	2025-09-29	PQ.8.1	56.00	25B (NB.1.8.1)	Ireland	Wicklow	21L	202540	PX580391	Homo sapiens		PQ.8.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
IRL/GIRL00072700/2025	2025-10-06	PQ.8.1	56.00	25B (NB.1.8.1)	Ireland	Wicklow	21L	202541	PX580414	Homo sapiens		PQ.8.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
IRL/GIRL00072647/2025	2025-10-07	PQ.8.1	56.00	25B (NB.1.8.1)	Ireland	Wicklow	21L	202541	PX580413	Homo sapiens		PQ.8.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
OZ347005	2025-09-22	PQ.17.5	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202539	OZ347005	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.17.5	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.23	1.55
Denmark/DCGC-693230/2025	2025-09-29	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202540	OZ368755	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.96	1.47
Denmark/DCGC-693452/2025	2025-10-27	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202544	OZ377009	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
OZ392190	2025-12-15	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392190	Homo sapiens		PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
OZ392189	2025-12-22	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392189	Homo sapiens		PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
IRL/GIRL00093508/2025	2025-12-12	PQ.17.5	57.00	25B (NB.1.8.1)	Ireland	Wexford	21L	202550	PX971382	Homo sapiens		PQ.17.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.23	1.55
Denmark/DCGC-693268/2025	2025-10-27	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202544	OZ368811	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.40	1.55
Denmark/DCGC-693280/2025	2025-10-27	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202544	OZ368664	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.13	1.47
Denmark/DCGC-693686/2026	2026-01-05	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202601	OZ412058	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	One month ago	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.40	1.55
Denmark/DCGC-693620/2026	2026-01-05	PQ.17.5	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202601	OZ407529	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.40	1.55
IGS-10285-CVDP-0AC5C2E6-56CC-4DCE-8352-997DF4C6057B	2026-02-05	PQ.4.7	57.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.4.7	One month ago	Europe		?		-1.23	1.55
OZ346379	2025-09-23	PQ.4.7	57.00	25B (NB.1.8.1)	United Kingdom	England	21L	202539	OZ346379	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PQ.4.7	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-1.21	1.58
IGS-10285-CVDP-074B31CB-814E-4571-BFF5-91EDF3D485B3	2025-09-26	PQ.4.7	58.00	25B (NB.1.8.1)	Germany		21L	202539				PQ.4.7	Older	Europe		?		-1.21	1.58
USA/CO-CDPHE-46312395/2026	2026-02-09	PQ.4	56.00	25B (NB.1.8.1)	USA	Colorado	21L	202606	PZ150876	Homo sapiens		PQ.4.10.1	1-2 days ago	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al		-1.23	1.55
IGS-10285-CVDP-2D187408-ABE1-462C-9A46-E83525C6FE20	2026-02-02	PQ.4	57.00	25B (NB.1.8.1)	Germany		21L	202605				PQ.4.10	One month ago	Europe		?		-1.21	1.58
IGS-10285-CVDP-1EEAE26D-AF66-4C18-8878-DAF42B56B8F2	2025-12-15	PQ.4	57.00	25B (NB.1.8.1)	Germany		21L	202551				PQ.4	Older	Europe		?		-1.09	1.55
OZ408568	2025-10-20	PQ.4	57.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202543	OZ408568	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.4	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.21	1.58
OZ408571	2025-10-24	PQ.4	57.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202543	OZ408571	Homo sapiens	Public Health Authority of the Slovak Republic	PQ.4	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al		-1.21	1.58
OZ390315	2025-12-08	PQ.4	56.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202550	OZ390315	Homo sapiens		PQ.4	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-1.23	1.55
OZ351830	2025-10-04	PQ.4.9	56.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202540	OZ351830	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.23	1.55
OZ373635	2025-11-11	PQ.4.9	56.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202546	OZ373635	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.9	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.23	1.55
OZ391786	2026-01-07	PQ.4.9	56.00	25B (NB.1.8.1)	United Kingdom	England	21L	202601	OZ391786	Homo sapiens		PQ.4.9	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-1.23	1.55
OZ386189	2025-12-10	PQ.4.9	56.00	25B (NB.1.8.1)	United Kingdom	England	21L	202550	OZ386189	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PQ.4.9	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-1.23	1.55
IGS-10285-CVDP-BB993501-3780-4158-BDFC-B1BC1219C31C	2025-11-07	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202545				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
IGS-10285-CVDP-C6778803-73AF-4C80-9B9F-1CB55E669012	2025-09-22	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202539				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
OZ373568	2025-11-03	NB.1.8.1	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202545	OZ373568	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	NB.1.8.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.02	-1.94	1.49
