strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
MWI/MLW00962/2021	2021-07-20	B.1.617.2	9.00	21A (Delta)	Malawi	Malawi	21A	202129	ON099824	Homo sapiens	B.1.617.2	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al				
IND/hospital_2_164/2021	2021-04-14	B.1.617.2	7.00	21A (Delta)	India	India	21A	202115	MZ724457	Homo sapiens	B.1.617.2	Older	Asia	University College London, Infection & Immunity	Mlcochova et al				
MAR/CNRST-IND01/2021	2021-04-22	B.1.617.2	8.00	21A (Delta)	Morocco	Morocco	21A	202116	MZ208926	Homo sapiens	B.1.617.2	Older	Africa	CNRST, UATRS/FGP	Melloul et al				
TZA/KIDH-02B14/2021	2021-05-03	B.1.617.2	8.00	21A (Delta)	Tanzania	Tanzania	21A	202118	OP236827	Homo sapiens	B.1.617.2	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al				
BGD/IEDCR-OIS-107/2021	2021-05-28	B.1.617.2	7.00	21A (Delta)	Bangladesh	Dhaka	21A	202121	MZ413629	Homo sapiens	B.1.617.2	Older	Asia	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Afrad et al				
UZB/UZB-335/2021	2021-06-25	B.1.617.2	8.00	21A (Delta)	Uzbekistan	Tashkent	21A	202125	OL801324	Homo sapiens	B.1.617.2	Older	Asia	Center for Advanced Technologies, Laboratory of Biotechnology	Turdikulova et al				
BGD/Laila_15/2021	2021-06-29	B.1.617.2	7.00	21A (Delta)	Bangladesh	Bangladesh	21A	202126	OL910954	Homo sapiens	B.1.617.2	Older	Asia	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Banu et al				
CHN/S169-1748-317361/2021	2021-07-28	B.1.617.2	8.00	21A (Delta)	China	China	21A	202130	PP380221	Homo sapiens	AY.31	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
BGD/Laila_308/2021	2021-08-11	B.1.617.2	8.00	21A (Delta)	Bangladesh	Bangladesh	21A	202132	OL989408	Homo sapiens	B.1.617.2	Older	Asia	Bangabandhu Sheikh Mujib Medical University, Genome research Center, Anatomy, BSMMU	Banu et al				
IND/INSACOG-GBRC1524/2021	2021-08-15	B.1.617.2	11.00	21I (Delta)	India	India	21I	202133	OM899755	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Patel et al				
IND/INSACOG-GBRC1523/2021	2021-08-09	B.1.617.2	9.00	21I (Delta)	India	India	21I	202132	OM899753	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Gohil et al				
IND/INSACOG-GBRC1522/2021	2021-08-06	B.1.617.2	9.00	21I (Delta)	India	India	21I	202131	OM899732	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Shukla et al				
IND/GBRC1222/2021	2021-06-02	AY.27	8.00	21I (Delta)	India	India	21I	202122	MZ702529	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Sharma et al				
VNM/OUCRU-NHTD471/2021	2021-07-31	AY.57	9.00	21I (Delta)	Vietnam	Vietnam	21I	202130	ON755838	Homo sapiens	AY.57	Older	Asia	Oxford University Clinical Research Unit, Laboratory Department	Kesteman et al				
VNM/OUCRU-NHTD502/2022	2022-01-03	AY.57	9.00	21I (Delta)	Vietnam	Vietnam	21I	202201	ON764451	Homo sapiens	AY.57	Older	Asia	Oxford University Clinical Research Unit, Laboratory Department	Kesteman et al				
VNM/OUCRU-NHTD359/2021	2021-05-05	AY.57	8.00	21I (Delta)	Vietnam	Vietnam	21I	202118	ON755727	Homo sapiens	AY.57	Older	Asia	Oxford University Clinical Research Unit, Laboratory Department	Kesteman et al				
VNM/OUCRU-NHTD387/2021	2021-04-22	AY.57	9.00	21I (Delta)	Vietnam	Vietnam	21I	202116	ON755754	Homo sapiens	AY.57	Older	Asia	Oxford University Clinical Research Unit, Laboratory Department	Kesteman et al				
IND/GBRC846/2021	2021-05-05	B.1.617.2	9.00	21I (Delta)	India	India	21I	202118	MZ701888	Homo sapiens	AY.38	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Raval et al				
MMR/DSMRC011/2021	2021-05-28	B.1.617.2	10.00	21I (Delta)	Myanmar	Myanmar	21I	202121	MZ397171	Homo sapiens	B.1.617.2	Older	Asia	Defence Services Medical Research Centre, Biological Research Division	Oo et al				
IND/GBRC1271/2021	2021-06-26	B.1.617.2	9.00	21I (Delta)	India	India	21I	202125	MZ702742	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al				
Iraq/KR-SEARCH-118898/2021	2021-07-06	B.1.617.2	10.00	21I (Delta)	Iraq	Iraqi Kurdistan	21I	202127	PP044840	Homo sapiens	B.1.617.2	Older	Asia	The Scripps Research Institute, Immunology and Microbiology	Andersen et al	University of Duhok COVID-19 Center for Research and Diagnosis			
OQ130496	2021-06-25	AY.69	9.00	21I (Delta)	South Korea	South Korea	21I	202125	OQ130496		AY.69	Older	Asia	Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease	Noh et al				
USA/FL-CDC-ASC210240016/2021	2021-07-21	AY.47	9.00	21I (Delta)	USA	Florida	21I	202129	OK291448	Homo sapiens	AY.47	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al	Aegis Sciences Corporation			
IDN/10761001097/2021	2021-07-13	AY.24	9.00	21I (Delta)	Indonesia	Banten	21I	202128	PX063666	Homo sapiens	AY.24	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101037/2021	2021-10-13	B.1.617.2	9.00	21I (Delta)	Indonesia	Bali	21I	202141	PX063686	Homo sapiens	AY.24	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101029/2021	2021-09-09	AY.24	10.00	21I (Delta)	Indonesia	Bali	21I	202136	PX063685	Homo sapiens	AY.24	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IND/GBRC1272/2021	2021-06-26	B.1.617.2	10.00	21I (Delta)	India	India	21I	202125	MZ708733	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandit et al				
CAN/Delta_NML_P4/2021	2021-10-05	B.1.617.2	9.00	21I (Delta)	Canada	Canada	21I	202140	OM366053	Homo sapiens	B.1.617.2	Older	North America	Public Health Agency of Canada, Special Pathogens	Audet et al				
CHN/HK_Silka_1/2021	2021-09-09	B.1.617.2	10.00	21I (Delta)	China	China	21I	202136	OL413931	Homo sapiens	B.1.617.2	Older	Asia	The University of Hong Kong, Civil Engineering	Xu et al				
OQ788230	2021-10-15	B.1.617.2	9.00	21I (Delta)	Côte d'Ivoire	Côte d'Ivoire	21I	202141	OQ788230	Homo sapiens	B.1.617.2	Older	Africa	Molecular Malaria laboratory, Faculty of Tropical Medicine	Schilling et al				
OQ788229	2021-10-11	B.1.617.2	10.00	21I (Delta)	Côte d'Ivoire	Côte d'Ivoire	21I	202141	OQ788229	Homo sapiens	B.1.617.2	Older	Africa	Molecular Malaria laboratory, Faculty of Tropical Medicine	Schilling et al				
USA/IL-CDC-LC0365312/2021	2021-10-27	AY.44	8.00	21J (Delta)	USA	Illinois	21J	202143	OL556463	Homo sapiens	AY.44	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al	Laboratory Corporation of America			
IND/VRDLTHENI/2021	2021-04-15	B.1.617.2	9.00	21J (Delta)	India	India	21J	202115	OP782317	Homo sapiens	B.1.617.2	Older	Asia	Govt. Theni Medical College, Theni, VRDL-Microbiology	Amudhan et al				
EGY/CCHE57357_W4_A037/2021	2021-09-01	B.1.617.2	5.00	21J (Delta)	Egypt	Egypt	21J	202135	OK104623	Homo sapiens	B.1.617.2	Older	Africa	Children Cancer Hospital, Genomics Program	Hatem et al				
CHN/S177-1805-322171/2021	2021-08-03	AY.125	9.00	21J (Delta)	China	China	21J	202131	PP380228	Homo sapiens	AY.125	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
IND/INSACOG-GBRC1490/2021	2021-07-28	B.1.617.2	10.00	21J (Delta)	India	India	21J	202130	OM884065	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandit et al				
Lesotho/UHB-MI-SEB-00851/2021	2021-08-18	AY.116	9.00	21J (Delta)	Lesotho	Lesotho	21J	202133	OV154453	Homo sapiens	AY.116	Older	Africa	SIB, Ch. des Mines 9	?	SolidarMed, Maseru, Lesotho			
USA/NY-PRL-210519_00B15/2021	2021-05-18	B.1.617.2	9.00	21J (Delta)	USA	New York	21J	202120	PP614212	Homo sapiens	B.1.617.2	Older	North America	NYC DOHMH, Bureau of the Public Health Laboratory	Amin et al	Pandemic Response Lab - NYC			
MMR/DSMRC038/2021	2021-11-23	B.1.617.2	8.00	21J (Delta)	Myanmar	Myanmar	21J	202147	OL757798	Homo sapiens	B.1.617.2	Older	Asia	Defence Services Medical Research Centre, Biological Research Division	Oo et al				
IND/GBRC1280/2021	2021-05-31	AY.120	8.00	21J (Delta)	India	India	21J	202122	MZ713386	Homo sapiens	AY.120	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandit et al				
IND/511MN908947.3/2021	2021-09-25	AY.122	7.00	21J (Delta)	India	India	21J	202138	OK356412	Homo sapiens	AY.122	Older	Asia	Rajiv Gandhi Centre for Biotechnology, Laboratory Medicine & Molecular DIagnostics	Nair et al				
IND/GBRC812b/2021	2021-05-04	AY.122	8.00	21J (Delta)	India	India	21J	202118	MZ413356	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al				
RUS/Podolsk/2021	2021-10-08	AY.122	6.00	21J (Delta)	Russia	Moscow Oblast	21J	202140	ON032860	Homo sapiens	AY.122	Older	Europe	Mechnikov Research Institute of Vaccines & Sera, Virology	Faizuloev et al				
RUS/RUSPrimorye_6925/2021	2021-06-28	AY.122	8.00	21J (Delta)	Russia	Russia	21J	202126	OR883881	Homo sapiens	AY.122	Older	Europe	Somov Institute of Epidemiology and Microbiology, Laboratory of respiratory Infections	Shchelkanov et al				
UZB/hCoV-19-Uzb-CGB-37/2021	2021-07-23	AY.122	8.00	21J (Delta)	Uzbekistan	Tashkent	21J	202129	MZ892623	Homo sapiens	AY.122	Older	Asia	Center of Genomics and bioinformatics, Bioinformatics laboratory	Ayubov et al				
CHN/S210-2690-376005/2021	2021-10-13	AY.122	8.00	21J (Delta)	China	China	21J	202141	PP380245	Homo sapiens	AY.122	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
UGA/MUWRP-GUL210261/2021	2021-07-22	AY.46	8.00	21J (Delta)	Uganda	Uganda	21J	202129	ON979396	Homo sapiens	AY.46	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al				
UGA/MUWRP-KIR210533S/2021	2021-10-12	AY.46	8.00	21J (Delta)	Uganda	Uganda	21J	202141	ON979395	Homo sapiens	AY.46	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al				
IND/Wuhan/2021	2021-08-29	B.1.617.2	5.00	21J (Delta)	India	India	21J	202135	OK067226	Homo sapiens	B.1.617.2	Older	Asia	Rajiv Gandhi Center for biotechnology, Laboratory Medicine and Molecular Diagnostics	Seetha et al				
Colombia/CO-ANT-UW21112682564/2021	2021-11-26	AY.25.1	7.00	21J (Delta)	Colombia	Colombia	21J	202147	ON259307	Homo sapiens	AY.25.1	Older	South America	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al				
USA/FL-CDC-STM-BW79HTXBU/2021	2021-11-17	AY.103	9.00	21J (Delta)	USA	Florida	21J	202146	OL728032	Homo sapiens	AY.103	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al	'Helix'			
IMS-10122-CVDP-ABC88EC0-4567-4C3F-A62A-1D408ADE4D44	2021-09-06	B.1.617.2	10.00	21J (Delta)	Germany		21J	202136			B.1.617.2	Older	Europe		?				
England/MILK-160937E/2021	2021-06-02	AY.4	9.00	21J (Delta)	United Kingdom	England	21J	202122	OU309337	Homo sapiens	AY.4	Older	Europe	Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA	The Lighthouse Lab in Milton et al	Lighthouse Lab in Milton Keynes			
ITA/AM-1988/2021	2021-11-18	AY.4	9.00	21J (Delta)	Italy	Italy	21J	202146	OR761929	Homo sapiens	AY.4	Older	Europe	Istituto Superiore di Sanita, Department of Infectious Diseases	Equestre et al				
CHN/S194-2036-337968/2021	2021-08-18	AY.4	9.00	21J (Delta)	China	China	21J	202133	PP380237	Homo sapiens	AY.4	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
IND/INSACOG-GBRC1483/2021	2021-06-27	AY.25	9.00	21J (Delta)	India	India	21J	202126	OM884049	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Soni et al				
IND/INSACOG-GBRC1594/2021	2021-08-16	AY.25	8.00	21J (Delta)	India	India	21J	202133	OM899974	Homo sapiens	AY.25	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kumar et al				
IND/CWS_0075_58751319/2021	2021-06-22	B.1.617.2	7.00	21J (Delta)	India	India	21J	202125	MZ558154	Homo sapiens	B.1.617.2	Older	Asia	King George's Medical University, Virology, Department of Microbiology	Prakash et al				
IDN/10752101025/2021	2021-08-25	AY.23	8.00	21J (Delta)	Indonesia	Bali	21J	202134	PX063706	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101032/2021	2021-09-16	AY.23	8.00	21J (Delta)	Indonesia	Bali	21J	202137	PX063695	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101034/2021	2021-09-29	AY.23	8.00	21J (Delta)	Indonesia	Bali	21J	202139	PX063702	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001089/2021	2021-06-08	AY.23	8.00	21J (Delta)	Indonesia	Banten	21J	202123	PX063709	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001093/2021	2021-06-23	AY.23	8.00	21J (Delta)	Indonesia	Banten	21J	202125	PX063725	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001101/2021	2021-08-19	AY.23	9.00	21J (Delta)	Indonesia	Banten	21J	202133	PX063697	Homo sapiens	AY.23	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
BRA/SP-NVBS11898GENOV828509796091/2021	2021-12-07	AY.99.2	7.00	21J (Delta)	Brazil	Brazil	21J	202149	ON583656	Homo sapiens	AY.99.2	Older	South America	Dasa, R&D	Guarischi et al				
BRA/RJ-NVBS5294GENOV827927087903/2021	2021-08-02	AY.99.2	7.00	21J (Delta)	Brazil	Brazil	21J	202131	ON578526	Homo sapiens	AY.99.2	Older	South America	Dasa, R&D	Guarischi et al				
IND/510MN908947.3/2021	2021-09-25	B.1.617.2	7.00	21J (Delta)	India	India	21J	202138	OK356411	Homo sapiens	B.1.617.2	Older	Asia	Rajiv Gandhi Centre for Biotechnology, Laboratory Medicine & Molecular DIagnostics	Nair et al				
IND/396MN908947.3/2021	2021-09-10	B.1.617.2	7.00	21J (Delta)	India	India	21J	202136	OK190640	Homo sapiens	B.1.617.2	Older	Asia	Rajiv Gandhi Centre for Biotechnology, Laboratory Medicine & Molecular DIagnostics	Nair et al				
MEX/MOR-5_1641/2021	2021-07-08	AY.20	10.00	21J (Delta)	Mexico	Mexico	21J	202127	ON486172	Homo sapiens	AY.20	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al				
MEX/NLE-4_2738/2021	2021-10-01	AY.20	9.00	21J (Delta)	Mexico	Mexico	21J	202139	ON482738	Homo sapiens	AY.20	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al				
NGA/CV2915/2021	2021-08-30	AY.36	8.00	21J (Delta)	Nigeria	Nigeria	21J	202135	OQ051610	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV3385/2021	2021-09-16	AY.36	8.00	21J (Delta)	Nigeria	Nigeria	21J	202137	OQ051887	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV3491/2021	2021-11-10	AY.36	8.00	21J (Delta)	Nigeria	Nigeria	21J	202145	OQ051891	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
BEN/521215/2021	2021-08-18	AY.36	9.00	21J (Delta)	Benin	Benin	21J	202133	OP537457	Homo sapiens	AY.36	Older	Africa	Charite Universitaetsmedizin Berlin, Institute of Virology	Fischer et al				
NGA/CV3101/2021	2021-08-30	AY.36	10.00	21J (Delta)	Nigeria	Nigeria	21J	202135	OQ051726	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV2491/2021	2021-07-27	AY.36	8.00	21J (Delta)	Nigeria	Nigeria	21J	202130	OQ051131	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV4743/2021	2021-10-27	AY.36	9.00	21J (Delta)	Nigeria	Nigeria	21J	202143	OQ052781	Homo sapiens	AY.36	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
TUR/ERAGEM-DEL-1103/2021	2021-10-05	AY.126	8.00	21J (Delta)	Turkey	Turkey	21J	202140	OM945721	Homo sapiens	AY.126	Older	Europe	Erciyes University Vaccine Research and Development Center, Medical Microbiology	Ozdarendeli et al				
TUR/Ank_DLT/2021	2021-09-22	AY.126	10.00	21J (Delta)	Turkey	Turkey	21J	202138	OM295705	Homo sapiens	AY.126	Older	Europe	Ankara University, Faculty of Veterinary Medicine, Department of Virology	Ozkul et al				
IND/INSACOG-GBRC1479/2021	2021-07-10	AY.112	10.00	21J (Delta)	India	India	21J	202127	OM884045	Homo sapiens	AY.112	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Raval et al				
CHN/S168-1737-316495/2021	2021-07-27	AY.43	8.00	21J (Delta)	China	China	21J	202130	PP380220	Homo sapiens	AY.43	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
CHN/S166-1693-310316/2021	2021-07-14	AY.43	8.00	21J (Delta)	China	China	21J	202128	PP380218	Homo sapiens	AY.43	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
FRA/21112100116/2021	2021-10-29	AY.43	7.00	21J (Delta)	France	France	21J	202143	PQ987253	Homo sapiens	AY.43	Older	Europe	APHP, Plateforme GenoBioMICS	Jimenez-Aray et al				
CHN/S204-2204-349731/2021	2021-09-02	AY.43	7.00	21J (Delta)	China	China	21J	202135	PP380240	Homo sapiens	AY.43	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
CHN/S167-1694-310521/2021	2021-07-15	AY.43	8.00	21J (Delta)	China	China	21J	202128	PP380219	Homo sapiens	AY.43	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
CHL/AR-UFRO-0449/2021	2021-11-13	AY.43	7.00	21J (Delta)	Chile	Chile	21J	202145	OM146425	Homo sapiens	AY.43.3	Older	South America	Scientific and Technological Bioresource Nucleus, Genomics and Bioinformatics Unit	Leyton-Carcaman et al				
BRA/EPI_ISL_8890434/2021	2021-09-14	AY.43.1	8.00	21J (Delta)	Brazil	São Paulo	21J	202137	OP899360	Homo sapiens	AY.43.1	Older	South America	Instituto Butantan, CDC	Ribeiro et al				
IND/401MN908947.3/2021	2021-09-10	B.1.617.2	7.00	21J (Delta)	India	India	21J	202136	OK190645	Homo sapiens	B.1.617.2	Older	Asia	Rajiv Gandhi Centre for Biotechnology, Laboratory Medicine & Molecular DIagnostics	Nair et al				
IND/GBRC1277/2021	2021-07-10	B.1.617.2	9.00	21J (Delta)	India	India	21J	202127	MZ713384	Homo sapiens	B.1.617.2	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Soni et al				
USA/MA-CDCBI-CRSP_6G7RO5TK7KJRAEQW/2021	2021-12-01	AY.3	8.00	21J (Delta)	USA	Massachusetts	21J	202148	OL822451	Homo sapiens	AY.3	Older	North America	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al	Broad Institute Clinical Research Sequencing Platform			
USA/IN-CDC-STM-000736632/2021	2021-09-25	AY.3	8.00	21J (Delta)	USA	Indiana	21J	202138	OK530168	Homo sapiens	AY.3	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al	'Helix'			
GHA/AA-NYGC-NTCoV-PC196-21-REUH870/2021	2021-07-09	AY.88	9.00	21J (Delta)	Ghana	Greater Accra	21J	202127	PQ791703	Homo sapiens	AY.88	Older	Africa	COVID-19 Genomics Research Network NYGC Submitters, COVID-19 Genomics Research Network	Zody et al	University of Ghana			
EGY/CCHE57357_W4_A061/2021	2021-08-30	AY.121	5.00	21J (Delta)	Egypt	Egypt	21J	202135	OK104647	Homo sapiens	AY.121	Older	Africa	Children Cancer Hospital, Genomics Program	Hatem et al				
MWI/MLW001011/2021	2021-08-02	AY.116	9.00	21J (Delta)	Malawi	Malawi	21J	202131	ON099994	Homo sapiens	AY.116	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al				
IND/Barcode33MN908947.3/2021	2021-09-10	B.1.617.2	7.00	21J (Delta)	India	India	21J	202136	OK189642	Homo sapiens	B.1.617.2	Older	Asia	Rajiv Gandhi Centre for Biotechnology, Laboratory Medicine & Molecular DIagnostics	Nair et al				
CHN/S203-2080-343435/2021	2021-08-24	AY.127	9.00	21J (Delta)	China	China	21J	202134	PP380239	Homo sapiens	AY.127	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
SouthAfrica/NHLS-UCT-GS-I837/2021	2021-09-14	AY.91	8.00	21J (Delta)	South Africa	South Africa	21J	202137	OM766113	Homo sapiens	AY.91	Older	Africa	University of Cape Town and National Health Laboratory Service, Department of Pathology, Faculty of Health Sciences	Viana et al				
PAK/JRCGR_KHI_SCV-121/2021	2021-08-27	B.1.617.2	9.00	21J (Delta)	Pakistan	Pakistan	21J	202134	OK398444	Homo sapiens	B.1.617.2	Older	Asia	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, Jamil-ur-Rahman Center for Genome Research	Irfan et al				
Iraq/KR-SEARCH-120012/2021	2021-11-06	B.1.617.2	7.00	21J (Delta)	Iraq	Iraqi Kurdistan	21J	202144	PP045107	Homo sapiens	B.1.617.2	Older	Asia	The Scripps Research Institute, Immunology and Microbiology	Andersen et al	University of Duhok COVID-19 Center for Research and Diagnosis			
BGD/IVPP_072.fasta/2021	2021-10-19	AY.131	11.00	21J (Delta)	Bangladesh	Bangladesh	21J	202142	OR775450	Homo sapiens	AY.131	Older	Asia	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Rahman et al				
CHN/S217-2945-397543/2021	2021-10-28	AY.33	11.00	21J (Delta)	China	China	21J	202143	PP380247	Homo sapiens	AY.33	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
Colombia/CO-SAN-UW21120641495/2021	2021-12-06	AY.39.2	9.00	21J (Delta)	Colombia	Colombia	21J	202149	ON150699	Homo sapiens	AY.39.2	Older	South America	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al				
MYS/M_C15770/2021	2021-12-12	AY.79	9.00	21J (Delta)	Malaysia	Malaysia	21J	202150	OM214029	Homo sapiens	AY.79	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al				
CHN/GDIPH-GDPCC-07/2022	2022-05-11	AY.1	11.00	21J (Delta)	China	Guangdong	21J	202219	PP230945	Homo sapiens	AY.1	Older	Asia	Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health	Zhou et al				
MW342708	2020-04-30	B.1.1.161	0.00	20B	Ecuador	Pichincha	20B	202018	MW342708	Homo sapiens	B.1.1.231	Older	South America	Zurita & Zurita Laboratorios, Unidad de Investigaciones en Biomedicina	Sevillano et al	Zurita & Zurita Laboratorios			
ZMB/29/2020	2020-03-16	B.1.1	1.00	20B	Zambia	Zambia	20B	202012	MT790522	Homo sapiens	B.1.1	Older	Africa	The University of Zambia, School of Veterinary Medicine, Disease Control	Simulundu et al				
NGA/CV-1/2020	2020-02-27	B.1.1	1.00	20B	Nigeria	Nigeria	20B	202009	OQ050412	Homo sapiens	B.1.1	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
SWE/14_SE300_DE20-004445/2020	2020-03-01	B.1.1	1.00	20B	Sweden	Sweden	20B	202010	OR940535	Homo sapiens	B.1.1.142	Older	Europe	University of Gothenburg, Infectious Diseases	Ringlander et al				
ITA/Nuoro-CoV54/2020	2020-04-09	B.1.1	1.00	20B	Italy	Sardinia	20B	202015	MW403698	Homo sapiens	B.1.1	Older	Europe	ASSL Nuoro, Laboratorio Specialistico - UOC Hematology	Piras et al				
MAR/15N/2020	2020-05-15	B.1.1	1.00	20B	Morocco	Casablanca	20B	202020	MT568645	Homo sapiens	B.1.1	Older	Africa	ANOUAL Laboratory, MOLECULAR BIOLOGY	Jouali et al				
IND/GBRC453a/2020	2020-12-24	B.1.1.306	2.00	20B	India	Gujarat	20B	202052	MW600363	Homo sapiens	B.1.1.306	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Patel et al				
IND/GBRC432/2020	2020-09-03	B.1.1.306	1.00	20B	India	Gujarat	20B	202036	MW242999	Homo sapiens	B.1.1.306	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Pandya et al	GCRI,Ahmedabad			
IND/GBRC516b/2020	2020-11-24	B.1.1.306	2.00	20B	India	India	20B	202048	MZ268603	Homo sapiens	B.1.1.306	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Soni et al				
IND/CMP_34_FMR/2020	2020-09-09	B.1.1.306	2.00	20B	India	Maharashtra	20B	202037	MW645476	Homo sapiens	B.1.1	Older	Asia	The Foundation for Medical Research, Tuberculosis	Nilgiriwala et al				
USA/FL-BPHL-3486/2020	2020-07-29	B.1.1	1.00	20B	USA	Florida	20B	202031	OR456202	Homo sapiens	B.1.1.482	Older	North America	FLDOH, BPHL	Schmedes et al	Florida Bureau of Public Health Laboratories			
